Id,Desktop,Desktop[Brazil],Desktop[Guatemala],AppStore,AppStore[Brazil],AppStore[Guatemala],Name,Name[en],Name[es],Name[pt],Name[zh],Comment,Comment[en],Comment[es],Comment[pt],Comment[zh],TryExec,Exec,Exec[en],Exec[es],Exec[pt],Exec[zh],Icon,Icon[en],Icon[es],Icon[pt],Icon[zh],SplashScreen,Categories
armagetron,,,,X,X,X,Armagetron,,Armagetron,Armagetron,,3d light cycle game,,,,,,armagetronad,,,,,armagetron-adv,,,,,,Games;
audacity,,,,X,X,X,Audio Editor,,Señor DJ,Edita Som,,Audacity,,,,,,audacity,,,,,audacity,,,,,,Audio;
billard-gl,,,,X,X,X,Billiards,,Billar,Sinuca,,BillardGL,,,,,,billard-gl,,,,,billardgl,,,,,,Games;
blockout2,,,,X,X,X,BlockOut 2,,BlockOut 2,BlockOut 2,,3D Tetris-style game,,,,,,blockout2,,,,,blockout2,,,,,,Games;
chromium-browser,10,10,10,,,,Internet,,,,,Browse the Web,,,,,,chromium-browser %U,,,,,browser,,,,,,Internet;
chromium-bsu,games:60,games:60,games:60,X,X,X,Chromium BSU,,,,,Chromium BSU,,,,,chromium-bsu,resfix chromium-bsu --fullscreen,,,,,chromium-bsu,,,,,,Games;
com.endlessm.brazil,curiosity:15,curiosity:15,,X,X,,Brazil,,,Brasil,,Explore Brasil,,,,,,eos-brazil,,,,,brazil,,,,,,Education;Travel;
com.endlessm.celebrities,,,,X,X,X,Celebrities,,Celebridades,,,Learn about celebrities from all around the world,,,,,,eos-celebrities,,,,,celebrities,,,,,,Entertainment;
com.endlessm.cooking,,,,X,X,X,Cooking,,La Cocina,,,Learn the basics of cooking,,,,,,eos-cooking,,,,,cooking,,,,,,Education;
com.endlessm.endless-english,curiosity:30,curiosity:30,curiosity:30,X,X,X,Learn English,,Aprende Inglés,Aprender Inglês,,Learn English,,,,,,eos-english,,,,,english-app,,,,,,Education;
com.endlessm.endless-photos,70,70,70,X,X,X,Photo Editor,,Editor de Fotos,Editor de Fotos,照片编辑器,Endless Photo App,,,,,,endless-os-photos %f,,,,,photo,,,,,,Photos;
com.endlessm.endless-resume-app,work:35,work:35,work:35,X,X,X,Résumé,,Currículum,Currículo,,Write a résumé,,,,,,eos-resume,,,,,resume,,,,,,Education;Office;
com.endlessm.endless-translation,curiosity:20,curiosity:20,curiosity:20,X,X,X,Translate,,Traductor,Tradutor,翻译,Translate,,,,,,eos-translation,,,,,translate,,,,,,Education;Office;
com.endlessm.endless-weather,news:10,news:10,news:10,X,X,X,Weather,,Tiempo,Tempo,,See the weather forecast,,,,,,eos-weather,,,,,weather,,,,,,Network;News;
com.endlessm.fitness,,,,X,X,X,Fitness,,Ejercicios,,,Look and feel your best,,,,,,eos-fitness,,,,,fitness,,,,,,Education;
com.endlessm.futbol,,,,X,X,X,Soccer,,Fútbol,,,Learn about your favorite game soccer,,,,,,eos-futbol,,,,,futbol,,,,,,Education;
com.endlessm.guatemala,curiosity:16,,curiosity:16,X,,X,Guatemala,,,,,Learn all about Guatemala right from your desktop,,,,,,eos-guatemala,,,,,guatemala,,,,,,Education;Travel;
com.endlessm.health,curiosity:18,curiosity:18,curiosity:18,X,X,X,Health,,Salud,Saúde,,Discover health,,,,,,eos-health,,,,,health,,,,,,Education;
com.endlessm.khanacademy,curiosity:40,curiosity:40,curiosity:40,X,X,X,Khan Academy,,Academia Khan,Academia Khan,,Khan Academy,,,,,,eos-khanacademy,,,,,khanacademy-app,,,,,,Education;
com.endlessm.mexico,curiosity:17,,,X,,X,Mexico,,México,,,Learn all about Mexico right from your desktop,,,,,,eos-mexico,,,,,mexico,,,,,,Education;Travel;
com.endlessm.programming,curiosity:50,curiosity:50,curiosity:50,X,X,X,Coding Fun,,Código Divertido,Código Divertido,,Learn to program,,,,,,eos-programming,,,,,codeacademy,,,,,,Education;
com.endlessm.science,,,,X,X,X,Science,,Ciencia,,,Learn about everything from dinosaurs to space,,,,,,eos-science,,,,,science,,,,,,Education;
com.endlessm.travel,,,,X,X,X,Travel,,Tu Mundo,,,Explore beautiful places all over the world,,,,,,eos-travel,,,,,travel,,,,,,Education;Travel;
com.endlessm.typing,work:60,work:60,work:60,X,X,X,Typing,,Tecla-Oke,Tecla-Okê,学习型,Learn to type,,,,,,eos-typing,,,,,typing,,,,,,Education;Games;
com.endlessm.wikipedia,curiosity:10,curiosity:10,curiosity:10,X,X,X,Wikipedia,,,Wikipédia,,Wikipedia,,,,,,eos-wikipedia,,,,,wikipedia-app,,,,,,Education;
com.endlessm.youtube,30,30,30,X,X,X,YouTube,,,,,YouTube,,,,,,eos-youtube,,,,,youtube-app,,,,,,Media;
empathy,,,,X,X,X,Chat,,,,,Chat,,,,,,empathy,,,,,empathy,,,,,,Internet;
eos-file-manager,80,80,80,,,,My Documents,,Documentos,Documentos,,File Manager,,,,,,eos-file-manager %U,,,,,nautilus,,,,,,FileManager;Utility;Core;GTK;
evolution,work:10,work:10,work:10,X,X,X,E-mail,,,,,E-mail,,,,,,evolution %U,,,,,email,,,,,,Mail;Email;
frostwire,media:40,media:40,media:40,X,X,X,Media Download,,Descargar,Baixar Mídia,,FrostWire,,,,,,frostwire,,,,,frostwire,,,,,,Network;
frozen-bubble,games:90,games:90,games:90,X,X,X,Frozen Bubble,,Burbujitas,Bolhinhas,,Frozen Bubble game,,,,,,frozen-bubble,,,,,frozen-bubble,,,,,,Games;
gnome-calculator,work:50,work:50,work:50,X,X,X,Calculator,,Calculadora,Calculadora,,Calculator,,,,,,gnome-calculator,,,,,calculator,,,,,none,Utility;Calculator;
gcompris,games:80,games:80,games:80,X,X,X,EduGames,,EduJuegos,Joguinhos,教育游戏,GCompris childrens games,,,,,,gcompris,,,,,gcompris,,,,,,Games;Education;
gimp,media:50,media:50,media:50,X,X,X,GIMP,,,,,Photo Editor,,Editor de Imágenes,Editor de Imagens,图像编辑器,,gimp %U,,,,,gimp,,,,,,Photos;
