Id,Desktop,Desktop[Brazil],Desktop[Guatemala],AppStore,AppStore[Brazil],AppStore[Guatemala],Name,Name[en],Name[es],Name[pt],Name[zh],Comment,Comment[en],Comment[es],Comment[pt],Comment[zh],URL,URL[en],URL[es],URL[pt],URL[zh],Icon,Icon[en],Icon[es],Icon[pt],Icon[zh],Categories
angrybirds,games:20,games:20,games:20,X,X,X,Angry Birds,,,,愤怒的小鸟,,,,,Angry Birds,http://chrome.angrybirds.com,,,,,angrybirds,,,,,Games;
bandnews,,,,,X,,Band News,,,,,,,,,,http://bandnewsfm.band.com.br,,,,,bandnews,,,,,News;
bol,,,,,X,,Bol,,,,,,,,,,http://www.bol.uol.com.br,,,,,bol,,,,,News;
botafogo,,,,,X,,Botafogo,,,,,,,,,,http://www.botafogo.com.br,,,,,botafogo,,,,,Sports;
brasil,,,,,X,,Portal Brasil,,,,,,,,,,http://www.brasil.gov.br,,,,,portalbrasil,,,,,Health;Education;
brasilescola,,,,,X,,Brasil Escola,,,,,,,,,,http://www.vestibular.brasilescola.com,,,,,brasil-escola,,,,,Health;Education;
catho,,,,,X,,Catho,,,,,,,,,,http://www.catho.com.br,,,,,catho,,,,,Jobs;
cifraclub,,,,,X,,Cifra Club,,,,,,,,,,http://www.cifraclub.com.br,,,,,cifraclub,,,,,Entertainment;Games;
cinema,,,,,X,,Cinema,,,,,,,,,,http://www.cinema.com,,,,,cinema,,,,,Entertainment;Games;
clickjogos,,,,,X,,Click Jogos,,,,,,,,,,http://www.clickjogos.uol.com.br,,,,,clickjogos,,,,,Entertainment;Games;
clima,,,,,X,,Clima,,,,,,,,,,http://www.climatempo.com.br/previsao-do-tempo/cidade/321/riodejaneiro-rj,,,,,climatempo,,,,,Rio;
climatempo,,,,,X,,Alerta Rio,,,,,,,,,,http://www.climatempo.com.br/alerta-rio/,,,,,alerta-rio,,,,,Rio;
cnn,news:20,,,X,,,CNN,,,,,,,,,,http://www.cnn.com,,,,,cnn,,,,,Network;
crflamengo,,,,,X,,C.R. Flamengo,,,,,,,,,,http://www.flamengo.com.br,,,,,flamengo,,,,,Sports;
curriculo,,,,,X,,Curriculo Online,,,,,,,,,,http://curriculo.com.br,,,,,curriculo,,,,,Jobs;
curriculum,,,,,X,,Curriculum,,,,,,,,,,http://www.curriculum.com.br,,,,,curriculum,,,,,Jobs;
delegacias,,,,,X,,Delegacias,,,,,,,,,,http://www.policiacivil.rj.gov.br/delegacia.asp#deam,,,,,delegacias,,,,,Rio;
disquedenuncia,,,,,X,,Disque Denúncia,,,,,,,,,,http://www.disquedenuncia.org.br,,,,,disque-denuncia,,,,,Rio;
economist,news:50,,,X,,,The Economist,,,,,,,,,,http://www.economist.com,,,,,theeconomist,,,,,Network;
empregocerto,,,,,X,,Emprego Certo,,,,,,,,,,http://empregocerto.uol.com.br/info/cadastre-se.html?psid=1,,,,,emprego-certo,,,,,Jobs;
empregosrj,,,,,X,,Ache Empregos Rio,,,,,,,,,,http://www.empregosrj.com,,,,,empregos-rj,,,,,Jobs;
extra,,,,,X,,Extra,,,,,,,,,,http://extra.globo.com,,,,,extra,,,,,News;
facebook,media:5,media:5,media:5,X,X,X,Facebook,,,,,,,,,,http://www.facebook.com,,,,,facebook,,,,,Entertainment;Games;
